feature	importance	cluster	outclf_sensitivity
cons_rating	0.33860468232324653	0	0.049638875823621365
cons_rating	0.32312619786857233	0	0.049638875823621365
cons_rating	0.31428036259556685	0	0.049638875823621365
cons_rating	0.3041236471513245	0	0.049638875823621365
cons_rating	0.2865707932635485	0	0.049638875823621365
bur_vertices	0.06323292857605278	1	0.01133563895637768
bur_vertices	0.06054866748191278	1	0.01133563895637768
bur_vertices	0.05947789668414473	1	0.01133563895637768
bur_vertices	0.049181665854361664	1	0.01133563895637768
bur_vertices	0.04675176267270429	1	0.01133563895637768
acc_vertices	0.022918362874803387	1	0.0777870670506906
acc_vertices	0.021541410178864996	1	0.0777870670506906
acc_vertices	0.019593581738841903	1	0.0777870670506906
acc_vertices	0.018423793030607274	1	0.0777870670506906
acc_vertices	0.017625997575887512	1	0.0777870670506906
mean_axis	0.06829884734704995	2	0.0802364384086266
pca_x	0.06157287081679166	2	0.0381863130132547
max_depth	0.061495447036990926	2	0.004116115807362708
mean_axis	0.060704014254758056	2	0.0802364384086266
long_axis	0.056487569871373794	2	0.019111927991158684
mean_axis	0.05509124925889842	2	0.0802364384086266
long_axis	0.05315287256561722	2	0.019111927991158684
max_depth	0.0524277972924638	2	0.004116115807362708
pca_z	0.052407697695285416	2	0.06410625758832056
pca_z	0.050748219817769544	2	0.06410625758832056
pca_x	0.049143770216341705	2	0.0381863130132547
mean_axis	0.0486191370094969	2	0.0802364384086266
mean_axis	0.044259020153762645	2	0.0802364384086266
pca_x	0.04381898517125555	2	0.0381863130132547
max_depth	0.04099253443556199	2	0.004116115807362708
long_axis	0.03981368059852286	2	0.019111927991158684
long_axis	0.03705304249804743	2	0.019111927991158684
long_axis	0.03647690901751067	2	0.019111927991158684
pca_x	0.036393605774306906	2	0.0381863130132547
max_depth	0.03625933244847154	2	0.004116115807362708
andrews_energy	0.03552979994635687	2	0.007780096971455208
pca_x	0.03440734301697972	2	0.0381863130132547
max_depth	0.03238900422349499	2	0.004116115807362708
pca_y	0.03188689371202031	2	0.05186199889595511
andrews_energy	0.031267963656610206	2	0.007780096971455208
pca_y	0.031088626532116144	2	0.05186199889595511
hb_donor	0.030689478210840324	2	0.018749496834206236
pca_y	0.030056076127160616	2	0.05186199889595511
pca_z	0.029342399272109066	2	0.06410625758832056
hb_donor	0.02927013944624585	2	0.018749496834206236
andrews_energy	0.02894500650620767	2	0.007780096971455208
hb_donor	0.02801685726592071	2	0.018749496834206236
hb_donor	0.027271303979651287	2	0.018749496834206236
pca_y	0.027096154271237165	2	0.05186199889595511
hb_donor	0.02677846721282191	2	0.018749496834206236
pca_z	0.02521863636146016	2	0.06410625758832056
pocket_size	0.025114284174484237	2	0.02574257403097102
pocket_size	0.024923825664529622	2	0.02574257403097102
pca_z	0.02374627867873735	2	0.06410625758832056
andrews_energy	0.02374467682289416	2	0.007780096971455208
pca_y	0.022623807187299002	2	0.05186199889595511
andrews_energy	0.022134015191688512	2	0.007780096971455208
pocket_size	0.01964306316165754	2	0.02574257403097102
pocket_size	0.019381732578666436	2	0.02574257403097102
pocket_size	0.018262296986635375	2	0.02574257403097102
hb_both	0.01660194913578076	2	0.06124513229044948
hb_both	0.016463758554073765	2	0.06124513229044948
hb_both	0.013300997685425111	2	0.06124513229044948
hb_both	0.012966795371964235	2	0.06124513229044948
hb_acceptor	0.011833501666961895	2	0.009258397221077241
hb_both	0.011494952028668659	2	0.06124513229044948
hb_acceptor	0.011074715585459667	2	0.009258397221077241
hb_acceptor	0.010165316147527864	2	0.009258397221077241
hb_acceptor	0.010162144928428	2	0.009258397221077241
hb_acceptor	0.00949349385218551	2	0.009258397221077241
hot_fraction	0.046908569336724465	3	0.07270065445807616
hot_fraction	0.039832753977508455	3	0.07270065445807616
hot_fraction	0.0377020477314277	3	0.07270065445807616
hot_fraction	0.03745634570673127	3	0.07270065445807616
hot_fraction	0.0351398496177095	3	0.07270065445807616
vol_ratio	0.04870640969026232	4	0.026007491482041845
vol_ratio	0.041234013029568466	4	0.026007491482041845
vol_ratio	0.038474846558311265	4	0.026007491482041845
vol_ratio	0.02403655599485174	4	0.026007491482041845
vol_ratio	0.021862147180537972	4	0.026007491482041845
nrm_polar_ratio	0.03709773736671013	5	0.053370606141751153
nrm_polar_ratio	0.036866569021163115	5	0.053370606141751153
nrm_polar_ratio	0.029804753749820757	5	0.053370606141751153
nrm_polar_ratio	0.028777447389194886	5	0.053370606141751153
