feature	importance	cluster	outclf_sensitivity
bur_vertices	0.13391670114071386	0	0.04371546767896976
bur_vertices	0.06619312229312604	0	0.04371546767896976
bur_vertices	0.06360454505223882	0	0.04371546767896976
acc_vertices	0.061503679419876264	0	0.03899608064082223
bur_vertices	0.05269176258352204	0	0.04371546767896976
bur_vertices	0.03175750928544244	0	0.04371546767896976
acc_vertices	0.02393063117136588	0	0.03899608064082223
acc_vertices	0.012774629407931514	0	0.03899608064082223
acc_vertices	0.008781626566067808	0	0.03899608064082223
acc_vertices	0.005959180313459625	0	0.03899608064082223
vol_ratio	0.07041375997580043	1	0.05008306400628111
vol_ratio	0.04674064728742231	1	0.05008306400628111
vol_ratio	0.040256551812270294	1	0.05008306400628111
vol_ratio	0.037806058218563664	1	0.05008306400628111
vol_ratio	0.02595436677626578	1	0.05008306400628111
cons_rating	0.07537564988574849	2	0.08118915144864117
cons_rating	0.04757186886092156	2	0.08118915144864117
cons_rating	0.040275386462583815	2	0.08118915144864117
cons_rating	0.036884214481102115	2	0.08118915144864117
cons_rating	0.02099568954207725	2	0.08118915144864117
pocket_size	0.0616584818496277	3	0.0258184100884155
max_depth	0.05430480044922328	3	0.026039011478513396
mean_axis	0.04650268405858714	3	0.03755513970285516
andrews_energy	0.039878477864569946	3	0.028036347848242694
max_depth	0.034799082756187615	3	0.026039011478513396
long_axis	0.03372633953691169	3	0.033718464742193956
andrews_energy	0.032568341934528726	3	0.028036347848242694
max_depth	0.03012108874051802	3	0.026039011478513396
mean_axis	0.029830403832946085	3	0.03755513970285516
max_depth	0.027435969599986343	3	0.026039011478513396
pca_y	0.02689600322006792	3	0.027451649223253403
pocket_size	0.026818256679668816	3	0.0258184100884155
pca_z	0.024096061663700614	3	0.029417348809527132
pocket_size	0.02386900017010136	3	0.0258184100884155
pca_x	0.022694979766731925	3	0.03343278107882715
andrews_energy	0.02192180418649082	3	0.028036347848242694
andrews_energy	0.018834976759739785	3	0.028036347848242694
mean_axis	0.01751755979772921	3	0.03755513970285516
pca_z	0.01640999238729531	3	0.029417348809527132
max_depth	0.013771261052417105	3	0.026039011478513396
long_axis	0.013583800892084807	3	0.033718464742193956
pca_x	0.013499200756620694	3	0.03343278107882715
pca_y	0.01327304653887278	3	0.027451649223253403
long_axis	0.013015615455104657	3	0.033718464742193956
pca_x	0.011607814798647514	3	0.03343278107882715
andrews_energy	0.011592323559421159	3	0.028036347848242694
pca_z	0.011081949995492741	3	0.029417348809527132
pocket_size	0.010921058791438653	3	0.0258184100884155
pca_y	0.010552640320616008	3	0.027451649223253403
mean_axis	0.008126913261711688	3	0.03755513970285516
pca_y	0.00733213732105677	3	0.027451649223253403
pca_x	0.007043765500930876	3	0.03343278107882715
mean_axis	0.0059668044055339545	3	0.03755513970285516
pca_x	0.005452473928251928	3	0.03343278107882715
hb_acceptor	0.004081691460838299	3	0.02854517066938067
long_axis	0.0037845455399503373	3	0.033718464742193956
pocket_size	0.003598751851738452	3	0.0258184100884155
hb_acceptor	0.0020857382670473102	3	0.02854517066938067
pca_y	0.0017412675574969866	3	0.027451649223253403
hb_donor	0.0016798166079411315	3	0.03358911500246142
hb_donor	0.001234288025887076	3	0.03358911500246142
hb_acceptor	0.0011976675193567487	3	0.02854517066938067
hb_acceptor	0.001162784466760125	3	0.02854517066938067
hb_acceptor	0.0010502124432602094	3	0.02854517066938067
hb_both	0.0004833845224186728	3	0.035702148080623886
hb_both	0.00032263198699289397	3	0.035702148080623886
hb_donor	0.00031919335348717937	3	0.03358911500246142
hb_both	0.0002677378106958006	3	0.035702148080623886
pca_z	0.00011182692555080642	3	0.029417348809527132
hb_both	5.536091308879221e-05	3	0.035702148080623886
hb_both	-4.924151439361091e-05	3	0.035702148080623886
hb_donor	-0.0006368598007218673	3	0.03358911500246142
pca_z	-0.0010552511160914102	3	0.029417348809527132
hb_donor	-0.0018930096685919329	3	0.03358911500246142
long_axis	-0.003140754143433666	3	0.033718464742193956
hot_fraction	0.05608337079218323	4	0.031173510268859617
hot_fraction	0.025949373919359347	4	0.031173510268859617
hot_fraction	0.024753366128139526	4	0.031173510268859617
hot_fraction	0.02003612159962943	4	0.031173510268859617
hot_fraction	0.011148180716755177	4	0.031173510268859617
nrm_polar_ratio	0.06270120277768107	5	0.033613548947067515
nrm_polar_ratio	0.028300134788800346	5	0.033613548947067515
nrm_polar_ratio	0.015819178542393085	5	0.033613548947067515
nrm_polar_ratio	0.011934199612561796	5	0.033613548947067515
nrm_polar_ratio	0.008255139442436128	5	0.033613548947067515
hp_ratio	0.054117019120587154	6	0.017896943163450606
hp_ratio	0.026279933402705437	6	0.017896943163450606
hp_ratio	0.018744441165476154	6	0.017896943163450606
hp_ratio	0.01676035056660775	6	0.017896943163450606
hp_ratio	0.007189177356994578	6	0.017896943163450606
helix	0.04847757719032444	7	0.042065325231528596
beta_sheet	0.0358192968282166	7	0.03764887258513398
helix	0.02574742572508647	7	0.042065325231528596
beta_sheet	0.021599498630815422	7	0.03764887258513398
helix	0.021095705337383235	7	0.042065325231528596
beta_sheet	0.01925658214805489	7	0.03764887258513398
helix	0.013900251935557901	7	0.042065325231528596
helix	0.012200512685359457	7	0.042065325231528596
beta_sheet	0.010463974566276882	7	0.03764887258513398
beta_sheet	0.0030201033520590725	7	0.03764887258513398
loop	0.02359344200552016	8	0.019597127192655252
loop	0.01620898211921177	8	0.019597127192655252
loop	0.014950709609694574	8	0.019597127192655252
loop	0.009773532725125277	8	0.019597127192655252
loop	0.005492404121617711	8	0.019597127192655252
acc_ratio	0.03373106222085246	9	0.02876636380684483
nrm_hyd_ratio	0.019474083554490595	9	0.024271299172238848
acc_ratio	0.015760604789770722	9	0.02876636380684483
nrm_hyd_ratio	0.012082733931540957	9	0.024271299172238848
nrm_hyd_ratio	0.010927004717062599	9	0.024271299172238848
nrm_hyd_ratio	0.007596519818279518	9	0.024271299172238848
acc_ratio	0.006353179184341418	9	0.02876636380684483
acc_ratio	0.002324246796898363	9	0.02876636380684483
nrm_hyd_ratio	0.00165851552311794	9	0.024271299172238848
acc_ratio	-0.0007660231323822209	9	0.02876636380684483
turn	0.021418976741788377	10	0.03006711096466701
turn	0.012198598331961847	10	0.03006711096466701
turn	0.010744757069098698	10	0.03006711096466701
turn	0.004831073283851128	10	0.03006711096466701
turn	0.0027208325670494	10	0.03006711096466701
acc_bur_vert_ratio	0.01534356725637655	11	0.018228361811362094
acc_bur_vert_ratio	0.009644512860528264	11	0.018228361811362094
acc_bur_vert_ratio	0.007885120142754599	11	0.018228361811362094
acc_bur_vert_ratio	0.005427216275363867	11	0.018228361811362094
acc_bur_vert_ratio	0.0034690269986010214	11	0.018228361811362094
