SMILES	HET	IUPAC_NAME	ORGANIC	NORM_ATOMS	HVY_ATMS	aLogP	MR	MW	HBA	HBD	TPSA	LABUTEASA	ROTBONDS	NUMRINGS	SAT_RINGS	ALIPH_RINGS	ARO_RINGS	MACROCYCLES	Fsp3	SA	QED	IF_SCORE	in_out	Set
C[C@H]1CCC[C@H](C[C@H]2Cc3cc(O)cc(O)c3C(=O)N2)C1	D4X	(3~{s})-3-[[(1~{s},3~{s})-3-methylcyclohexyl]methyl]-6,8-bis(oxidanyl)-3,4-dihydro-2~{h}-isoquinolin-1-one	True	True	21.0	2.968700000000002	80.46880000000003	289.17	3.0	3.0	69.56	124.73395585884505	2.0	3.0	1.0	2.0	1.0	0.0	0.5882352941176471	3.76449852367897	0.7836659957145318	0.04671268179876936	1	Drug-Like
CCOC(=O)c1cnc2[nH]ncc2c1N1CCO[C@@H](CN)C1	YM3	ethyl 4-(2-(aminomethyl)morpholino)-1h-pyrazolo[3,4-b]pyridine-5-carboxylate	True	True	22.0	0.2985000000000004	80.85260000000002	305.15	7.0	2.0	106.35999999999999	127.13202029046148	4.0	3.0	1.0	1.0	2.0	0.0	0.5	3.1938440105236987	0.7822515110971903	0.04671291289949797	1	Drug-Like
c1ccc2oc([C@H]3CCCNC3)nc2c1	1HI	2-[(3s)-piperidin-3-yl]-1,3-benzoxazole	True	True	15.0	2.2948000000000004	58.85370000000003	202.11	3.0	1.0	38.06	88.49578649831737	1.0	3.0	1.0	1.0	2.0	0.0	0.4166666666666667	2.653577728184814	0.7706515106319971	0.04670154610471333	1	Drug-Like
NCCCC(=O)N[C@@H]1Cc2ccccc2[C@@H]1Cc1ccc2c(c1C(=O)O)OCO2	LOZ	5-[[(1s,2r)-2-(4-azanylbutanoylamino)-2,3-dihydro-1h-inden-1-yl]methyl]-1,3-benzodioxole-4-carboxylic acid	True	True	29.0	2.2195999999999994	106.33440000000006	396.17	5.0	3.0	110.88000000000001	168.3603774543867	7.0	4.0	0.0	2.0	2.0	0.0	0.36363636363636365	3.4552548701321397	0.6618266034523466	0.046723193905967186	1	Drug-Like
CCCN(Cc1ccc(N)cc1)C(=O)NCC(=O)OCC	L36	ethyl 2-[[(4-aminophenyl)methyl-propyl-carbamoyl]amino]ethanoate	True	True	21.0	1.7535	81.58710000000004	293.17	4.0	2.0	84.66000000000001	124.80205812948502	7.0	1.0	0.0	0.0	1.0	0.0	0.4666666666666667	2.063799323349942	0.5923036330759442	0.04675248633939216	1	Drug-Like
N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3	PAK	9-cyano paullone	True	True	21.0	3.2011800000000017	80.78340000000003	273.09	2.0	2.0	68.67999999999999	120.57228143309163	0.0	4.0	0.0	1.0	3.0	0.0	0.058823529411764705	2.4040340365734068	0.6600522249660065	0.04683692281340179	1	Drug-Like
O=C1c2ccccc2N[C@@H](c2ccccc2F)N1c1ccccc1	P59	(2r)-2-(2-fluorophenyl)-3-phenyl-1,2-dihydroquinazolin-4-one	True	True	24.0	4.596800000000003	92.45720000000003	318.12	2.0	1.0	32.34	138.90639796367046	2.0	4.0	0.0	1.0	3.0	0.0	0.05	2.437913896887398	0.7489082351946548	0.04628010497096935	1	Drug-Like
CCC(=O)N(Cc1cccc(CO)c1)C1CCN(CCc2ccccc2)CC1	A1AQ2	n-{[3-(hydroxymethyl)phenyl]methyl}-n-[1-(2-phenylethyl)piperidin-4-yl]propanamide	True	True	28.0	3.6246000000000027	112.81380000000004	380.25	3.0	1.0	43.78000000000001	168.33739473743756	8.0	3.0	1.0	1.0	2.0	0.0	0.4583333333333333	2.124922074577192	0.7605997258613442	0.04679720239260249	1	Drug-Like
N=c1c2c(n(Cc3ccc(F)cc3)c3c1CCC3)CCC2	8AI	2-[(4-fluorophenyl)methyl]-2-azatricyclo[7.3.0.0^{3,7}]dodeca-1(9),3(7)-dien-8-imine	True	True	21.0	3.1323700000000017	79.83870000000003	282.15	2.0	1.0	28.78	123.31193568901168	2.0	4.0	0.0	2.0	2.0	0.0	0.3888888888888889	2.6032370630551203	0.8765969908557645	0.04675792298410736	1	Drug-Like
NCCc1c[nH]c2ccc(C(N)=O)cc12	8K3	3-(2-azanylethyl)-1h-indole-5-carboxamide	True	True	15.0	0.768	59.57500000000001	203.11	2.0	3.0	84.9	87.25835790950549	3.0	2.0	0.0	0.0	2.0	0.0	0.18181818181818182	2.0702649869357845	0.6878340145564997	0.0467763896229329	1	Drug-Like
C[C@H](c1ccccc1F)N1CCNCC1	WMD	1-[(1r)-1-(2-fluorophenyl)ethyl]piperazine	True	True	15.0	1.7918999999999998	59.257700000000035	208.14	2.0	1.0	15.27	90.09045590908504	2.0	2.0	1.0	1.0	1.0	0.0	0.5	2.5143345797053858	0.7968348869058242	0.046777125225023586	1	Drug-Like
C[C@@H](c1ccccc1F)N1CCNCC1	WMG	1-[(1s)-1-(2-fluorophenyl)ethyl]piperazine	True	True	15.0	1.7918999999999998	59.257700000000035	208.14	2.0	1.0	15.27	90.09045590908504	2.0	2.0	1.0	1.0	1.0	0.0	0.5	2.5143345797053858	0.7968348869058242	0.046777125225023586	1	Drug-Like
Cc1ccc(CNC(=O)C2CCN(C(=O)c3cc(Cl)ccc3Cl)CC2)cc1	A1IX7	1-[2,5-bis(chloranyl)phenyl]carbonyl-~{n}-[(4-methylphenyl)methyl]piperidine-4-carboxamide	True	True	27.0	4.470420000000004	108.11520000000002	404.11	2.0	1.0	49.410000000000004	169.00641770926356	4.0	3.0	1.0	1.0	2.0	0.0	0.3333333333333333	1.8450660428096803	0.8161842483202573	0.046846661359920716	1	Drug-Like
CCCN1C(=O)CCc2cc(NS(=O)(=O)Cc3c(F)c(F)c(C)c(F)c3F)ccc21	AF0	n-(2-oxo-1-propyl-1,2,3,4-tetrahydroquinolin-6-yl)-1-(2,3,5,6-tetrafluoro-4-methylphenyl)methanesulfonamide	True	True	30.0	4.182520000000004	104.66450000000006	444.11	3.0	1.0	74.86000000000001	171.29633854517985	6.0	3.0	0.0	1.0	2.0	0.0	0.35	2.7949116395757976	0.5370157866802379	0.04678529020285116	1	Drug-Like
Cc1noc(C)c1CN(C)C(=O)C(C)(C)N	VOQ	n-[(3,5-dimethyl-1,2-oxazol-4-yl)methyl]-n,2-dimethyl-l-alaninamide	True	True	16.0	0.9871399999999999	60.71740000000003	225.15	4.0	1.0	72.36	95.57752005272235	3.0	1.0	0.0	0.0	1.0	0.0	0.6363636363636364	2.589208512871785	0.8321408925706634	0.04679907441195175	1	Drug-Like
CCCn1c(=O)c2c(C)c(C(=O)C3C(=O)CCCC3=O)ccc2n(C)c1=O	NV0	1,5-dimethyl-6-(2-oxidanyl-6-oxidanylidene-cyclohexen-1-yl)carbonyl-3-propyl-quinazoline-2,4-dione	True	True	27.0	1.5396199999999998	100.16250000000005	370.15	7.0	0.0	95.21000000000001	155.15339130576479	4.0	3.0	1.0	1.0	2.0	0.0	0.45	2.768168954461837	0.6008869962769372	0.04674631800352291	1	Drug-Like
